VenueID,Dist_to_Toronto,Dist_to_Dallas,Dist_to_San Antonio,Dist_to_Los Angeles,Dist_to_Washington,Dist_to_Indiana,Dist_to_Philadelphia,Dist_to_Chicago,Dist_to_Milwaukee,Dist_to_Minnesota,Dist_to_Memphis,Dist_to_New York,Dist_to_Denver,Dist_to_Atlanta,Dist_to_Boston,Dist_to_Phoenix,Dist_to_Miami,Dist_to_Sacramento,Dist_to_Utah,Dist_to_Cleveland,Dist_to_Golden State,Dist_to_New Orleans,Dist_to_Portland,Dist_to_Charlotte,Dist_to_Houston,Dist_to_Detroit,Dist_to_Oklahoma City,Dist_to_Orlando,Dist_to_Brooklyn
825,1113.1,189.9,421.5,1172.7,1142.8,685.4,1248.3,690.3,733.0,697.8,418.7,1317.8,504.5,750.4,1485.7,835.5,1224.6,1327.6,858.6,946.4,1364.9,575.3,1482.0,932.7,415.0,910.2,0.0,1055.5,1318.0
827,1054.1,961.0,1034.3,2192.5,760.2,824.2,863.1,990.3,1069.7,1312.5,682.1,943.9,1546.0,402.0,1118.3,1838.4,202.8,2380.4,1909.8,899.3,2414.6,534.4,2520.6,463.7,849.1,988.0,1055.5,0.0,940.2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Dist_to_Toronto,Dist_to_Dallas,Dist_to_San Antonio,Dist_to_Los Angeles,Dist_to_Washington,Dist_to_Indiana,Dist_to_Philadelphia,Dist_to_Chicago,Dist_to_Milwaukee,Dist_to_Minnesota,Dist_to_Memphis,Dist_to_New York,Dist_to_Denver,Dist_to_Atlanta,Dist_to_Boston,Dist_to_Phoenix,Dist_to_Miami,Dist_to_Sacramento,Dist_to_Utah,Dist_to_Cleveland,Dist_to_Golden State,Dist_to_New Orleans,Dist_to_Portland,Dist_to_Charlotte,Dist_to_Houston,Dist_to_Detroit,Dist_to_Oklahoma City,Dist_to_Orlando,Dist_to_Brooklyn
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
