Rank,Player,TOP,FG,FGA,FGP,3P,FT,FTA,FTP,TRB,AST,STL,BLK,TOV,PTS,VORP,adj_FG,adj_FT,zFG,zFT,z3P,zPTS,zREB,zAST,zSTL,zBLK,zTOV,zAVG
263,Justise Winslow,0,4.4,12.5,0.356,0.4,1.6,2.6,0.617,5.2,3.7,1.4,0.3,1.8,10.9,-0.1,0.462322305,0.770258981,-2.711113963,-1.11300993,-0.871196876,-0.520531974,-0.254916078,0.255004063,0.922430657,-0.746821894,-0.078053171,-0.568689907
264,Jason Terry,0,1.4,3.3,0.432,1,0.3,0.4,0.828,1.4,1.3,0.6,0.3,0.5,4.1,0.3,0.473404979,0.781652599,-0.325425131,-0.018147489,-0.222167685,-1.559715049,-1.676231457,-0.782300601,-1.14064006,-0.746821894,1.340332406,-0.570124107
265,Rodney McGruder,0,2.4,5.9,0.413,0.9,0.6,0.9,0.62,3.3,1.6,0.6,0.2,0.7,6.4,0.8,0.471409574,0.779067221,-0.754961722,-0.266587684,-0.330339217,-1.208226656,-0.965573767,-0.652637518,-1.14064006,-0.935706809,1.12211924,-0.570283799
266,Tyus Jones,0,1.3,3,0.414,0.4,0.6,0.7,0.767,1.1,2.6,0.8,0.1,0.6,3.5,0,0.473777535,0.783527857,-0.245227557,0.162054273,-0.871196876,-1.651407673,-1.788440566,-0.220427241,-0.624872381,-1.124591724,1.231225823,-0.570320436
267,Taurean Waller-Prince,0,1.9,4.8,0.4,0.6,1.3,1.6,0.787,2.7,0.9,0.7,0.5,1,5.7,-0.1,0.471571457,0.783383426,-0.720114342,0.148175274,-0.654853812,-1.315201384,-1.189991985,-0.955184712,-0.88275622,-0.369052064,0.794799492,-0.571575528
268,Arron Afflalo,0,3,6.9,0.44,1,1.4,1.5,0.892,2,1.3,0.3,0.1,0.7,8.4,-0.6,0.472511536,0.788374596,-0.517750279,0.627798561,-0.222167685,-0.902584575,-1.451813239,-0.782300601,-1.914291578,-1.124591724,1.12211924,-0.573953542
269,Jerami Grant,0,1.9,4.1,0.463,0.5,1.1,1.8,0.612,2.6,0.6,0.4,1,0.6,5.5,0,0.47446981,0.773484202,-0.096206581,-0.803084404,-0.763025344,-1.345765593,-1.227395021,-1.084847795,-1.656407739,0.57537251,1.231225823,-0.574459349
270,Georgios Papagiannis,0,2.5,4.6,0.549,0,0.5,0.6,0.857,3.9,0.9,0.1,0.8,1.1,5.6,-0.1,0.477641046,0.78290636,0.586443117,0.102331928,-1.303883003,-1.330483488,-0.74115555,-0.955184712,-2.430059258,0.19760268,0.685692909,-0.576521709
271,Kris Dunn,0,1.5,4,0.377,0.3,0.5,0.8,0.61,2.1,2.4,1,0.5,1.1,3.8,-0.1,0.471371595,0.778436539,-0.763137364,-0.327192674,-0.979368408,-1.605561361,-1.414410203,-0.306869297,-0.109104701,-0.369052064,0.685692909,-0.576555907
272,Shelvin Mack,0,3.1,6.9,0.446,0.7,1,1.4,0.688,2.3,2.8,0.8,0.1,1.6,7.8,0.1,0.47336849,0.779360967,-0.333279747,-0.238360368,-0.54668228,-0.9942772,-1.33960413,-0.133985186,-0.624872381,-1.124591724,0.140159995,-0.577277002
273,Kelly Oubre,0,2.4,5.6,0.421,0.7,0.9,1.3,0.758,3.3,0.6,0.7,0.2,0.6,6.3,-0.1,0.472635158,0.778739987,-0.491139104,-0.298033061,-0.54668228,-1.22350876,-0.965573767,-1.084847795,-0.88275622,-0.935706809,1.231225823,-0.577446886
274,Bobby Portis,0,2.9,5.9,0.488,0.5,0.6,0.9,0.661,4.6,0.5,0.3,0.2,0.6,6.8,-0.3,0.475731383,0.779067221,0.175363404,-0.266587684,-0.763025344,-1.14709824,-0.479334296,-1.128068823,-1.914291578,-0.935706809,1.231225823,-0.58083595
275,Cristiano Felicio,0,1.9,3.3,0.579,0,0.9,1.4,0.645,4.7,0.6,0.4,0.3,0.5,4.8,0.5,0.477826146,0.776554404,0.626288234,-0.508055248,-1.303883003,-1.452740321,-0.441931259,-1.084847795,-1.656407739,-0.746821894,1.340332406,-0.580896291
276,Matthew Dellavedova,0,2.7,7,0.39,1,1.1,1.3,0.854,1.9,4.7,0.7,0,1.8,7.6,-1.4,0.469538299,0.784368911,-1.157777857,0.242874792,-0.222167685,-1.024841408,-1.489216275,0.68721434,-0.88275622,-1.313476638,-0.078053171,-0.582022236
277,Reggie Bullock,0,1.7,4.1,0.422,0.9,0.2,0.2,0.714,2.1,0.9,0.6,0.1,0.3,4.5,0.2,0.472713765,0.783288651,-0.474217925,0.139067856,-0.330339217,-1.498586633,-1.414410203,-0.955184712,-1.14064006,-1.124591724,1.558545572,-0.582261894
278,Bismack Biyombo,0,2.2,4.2,0.528,0,1.5,2.9,0.534,7,0.9,0.3,1.1,1.2,6,-0.1,0.476685336,0.761342449,0.380714203,-1.969838375,-1.303883003,-1.269355072,0.418338575,-0.955184712,-1.914291578,0.764257425,0.576586326,-0.58585069
279,Emmanuel Mudiay,0,3.8,10,0.377,1,2.4,3,0.784,3.2,3.9,0.7,0.2,2.2,11,-0.6,0.46696205,0.783471074,-1.712348897,0.156597754,-0.222167685,-0.50524987,-1.002976804,0.341446119,-0.88275622,-0.935706809,-0.514479502,-0.586404657
280,Jeff Green,0,3.2,8.1,0.394,0.8,2.1,2.4,0.863,3.1,1.2,0.5,0.2,1.1,9.2,-1,0.469398408,0.788114238,-1.187891306,0.602779565,-0.438510748,-0.780327743,-1.04037984,-0.825521629,-1.398523899,-0.935706809,0.685692909,-0.590932167
281,Archie Goodwin,0,2.4,4.4,0.545,0.3,2.2,2.8,0.786,1.9,1.6,0.3,0.3,0.9,7.3,0,0.477601886,0.78230162,0.578013383,0.04421981,-0.979368408,-1.07068772,-1.489216275,-0.652637518,-1.914291578,-0.746821894,0.903906075,-0.591876014
282,Shaun Livingston,0,2.3,4.2,0.547,0,0.6,0.8,0.7,2,1.8,0.5,0.3,0.8,5.1,0,0.477562589,0.781291173,0.56955407,-0.052878513,-1.303883003,-1.406894009,-1.451813239,-0.566195463,-1.398523899,-0.746821894,1.013012657,-0.593827033
