Player,Rookie,Pos,G,FG,FGA,FGP,3P,FT,FTA,FTP,TRB,AST,STL,BLK,TOV,PTS,VORP
LeBron James,0,PF,82,10.5,19.3,0.542,1.8,4.7,6.5,0.731,8.6,9.1,1.4,0.9,4.2,27.5,8.9
James Harden,0,SG,72,9,20.1,0.449,3.7,8.7,10.1,0.858,5.4,8.8,1.8,0.7,4.4,30.4,8.3
Russell Westbrook,0,PG,80,9.5,21.1,0.449,1.2,5.2,7.1,0.737,10.1,10.3,1.8,0.3,4.8,25.4,7.5
Damian Lillard,0,PG,73,8.5,19.4,0.439,3.1,6.8,7.4,0.916,4.5,6.6,1.1,0.4,2.8,26.9,5.9
Nikola Jokic,0,C,75,6.7,13.5,0.499,1.5,3.5,4.2,0.85,10.7,6.1,1.2,0.8,2.8,18.5,5.6
Karl-Anthony Towns,0,C,82,7.8,14.3,0.545,1.5,4.2,4.9,0.858,12.3,2.4,0.8,1.4,1.9,21.3,5.5
Giannis Antetokounmpo,0,PF,75,9.9,18.7,0.529,0.6,6.5,8.5,0.76,10,4.8,1.5,1.4,3,26.9,5.4
Andre Drummond,0,C,78,6,11.3,0.529,0,3.1,5.1,0.605,16,3,1.5,1.6,2.6,15,5
Kyle Lowry,0,PG,78,5.2,12.1,0.427,3.1,2.9,3.3,0.854,5.6,6.9,1.1,0.2,2.3,16.2,5
Anthony Davis,0,PF,75,10.4,19.5,0.534,0.7,6.6,8,0.828,11.1,2.3,1.5,2.6,2.2,28.1,4.9
Ben Simmons,1,PG,81,6.7,12.3,0.545,0,2.4,4.2,0.56,8.1,8.2,1.7,0.9,3.4,15.8,4.6
Kevin Durant,0,PF,68,9.3,18,0.516,2.5,5.3,5.9,0.889,6.8,5.4,0.7,1.8,3,26.4,4.5
Victor Oladipo,0,SG,75,8.5,17.9,0.477,2.1,3.9,4.9,0.799,5.2,4.3,2.4,0.8,2.9,23.1,4.5
Stephen Curry,0,PG,51,8.4,16.9,0.495,4.2,5.5,5.9,0.921,5.1,6.1,1.6,0.2,3,26.4,4.4
Chris Paul,0,PG,58,6.3,13.8,0.46,2.5,3.5,3.8,0.919,5.4,7.9,1.7,0.2,2.2,18.6,4.3
Kyrie Irving,0,PG,60,8.9,18.1,0.491,2.8,3.9,4.4,0.889,3.8,5.1,1.1,0.3,2.3,24.4,4
Jimmy Butler,0,SG,59,7.4,15.6,0.474,1.2,6.2,7.2,0.854,5.3,4.9,2,0.4,1.8,22.2,3.8
Kemba Walker,0,PG,80,7.4,17,0.431,2.9,4.5,5.3,0.864,3.1,5.6,1.1,0.3,2.2,22.1,3.6
Al Horford,0,C,72,5.1,10.5,0.489,1.3,1.3,1.7,0.783,7.4,4.7,0.6,1.1,1.8,12.9,3.5
Otto Porter,0,SF,77,5.8,11.5,0.503,1.8,1.4,1.7,0.828,6.4,2,1.5,0.5,1,14.7,3.4
Paul George,0,SF,79,7.3,17,0.43,3.1,4.3,5.2,0.822,5.7,3.3,2,0.5,2.7,21.9,3.3
DeMarcus Cousins,0,C,48,8.5,18,0.47,2.2,6.1,8.2,0.746,12.9,5.4,1.6,1.6,5,25.2,3.3
LaMarcus Aldridge,0,C,75,9.2,18,0.51,0.4,4.5,5.3,0.837,8.5,2,0.6,1.2,1.5,23.1,3.3
Joe Ingles,0,SF,82,4.1,8.8,0.467,2.5,0.8,1,0.795,4.2,4.8,1.1,0.2,1.9,11.5,3.3
Steven Adams,0,C,76,5.9,9.4,0.629,0,2.1,3.8,0.559,9,1.2,1.2,1,1.7,13.9,3.3
Draymond Green,0,PF,70,4,8.8,0.454,1.1,1.9,2.5,0.775,7.6,7.3,1.4,1.3,2.9,11,3
